i,j,x
747,15,1
747,18,1
747,32,1
748,20,1
748,44,1
748,62,1
749,16,1
750,33,1
751,23,1
753,16,1
754,16,1
754,23,1
755,19,1
755,20,1
755,45,1
756,13,1
756,14,1
756,23,1
756,35,1
756,45,1
756,54,1
756,56,1
757,1,1
757,7,1
757,18,1
757,62,1
758,6,1
758,10,1
759,7,1
759,8,1
759,20,2
759,62,1
760,43,1
760,57,1
761,6,1
761,10,1
762,10,1
762,51,1
763,15,1
763,26,1
764,1,1
765,20,1
765,26,1
765,60,1
767,1,1
767,18,1
767,19,1
767,20,1
767,24,1
768,21,1
768,46,1
768,54,1
768,63,1
770,18,1
770,38,1
771,17,1
773,14,1
773,23,1
773,26,1
774,20,1
774,35,1
775,16,1
775,24,1
776,1,2
776,18,1
776,19,1
776,24,1
777,20,1
779,33,1
780,21,1
780,33,1
780,51,1
781,20,1
781,22,1
782,1,2
782,18,1
782,19,2
782,20,1
783,9,1
783,17,1
783,20,1
783,64,1
784,36,1
785,1,1
785,23,1
787,24,1
788,19,1
788,38,1
789,47,1
790,10,1
790,29,1
790,32,1
791,20,1
791,26,1
792,21,1
793,1,1
793,20,1
793,33,1
795,26,1
795,43,1
797,36,1
798,22,1
798,32,1
799,6,1
799,10,1
800,7,1
800,8,1
800,20,3
800,62,1
801,19,1
801,24,1
803,17,1
803,19,1
804,7,1
804,8,1
804,20,3
804,62,1
805,16,1
805,23,1
807,17,1
807,20,1
807,39,1
808,17,1
808,20,1
808,46,1
808,63,1
809,21,1
809,23,2
809,57,1
810,24,1
810,64,1
811,49,1
812,1,1
812,20,1
813,6,1
813,10,1
814,19,2
815,23,1
816,20,1
816,21,3
817,8,1
818,20,1
820,17,1
820,38,1
821,16,1
822,20,1
822,51,1
823,43,1
823,57,1
824,20,1
825,19,1
825,20,1
826,19,1
826,20,1
826,24,1
828,17,1
828,19,1
830,33,1
830,46,1
830,63,1
831,7,1
832,20,1
833,43,1
833,57,1
834,1,1
834,4,1
834,26,2
834,57,1
835,39,1
836,1,1
836,17,1
836,18,1
836,19,1
836,39,1
837,20,1
839,1,1
839,15,1
839,18,1
839,20,1
840,1,1
840,24,1
840,64,1
841,1,1
841,15,1
841,18,1
841,20,1
841,32,1
842,57,1
843,20,1
843,23,1
844,7,1
844,45,1
845,6,1
845,24,1
846,18,1
846,20,1
847,20,1
847,23,1
848,19,2
848,20,1
848,22,1
848,41,1
849,1,1
849,18,1
849,24,1
851,20,1
852,19,1
853,16,1
853,20,1
853,23,1
855,1,1
856,18,1
856,20,1
856,61,1
857,1,1
857,18,1
857,52,1
858,36,1
861,19,1
861,22,1
863,15,1
864,19,1
864,31,1
865,16,1
866,24,1
867,23,1
868,19,1
868,20,1
870,19,1
870,26,1
870,35,1
871,6,1
871,10,1
872,16,1
873,1,1
873,23,1
873,26,1
874,1,1
875,1,1
875,20,3
875,29,1
875,33,1
876,44,1
876,62,1
878,49,1
879,19,1
880,19,1
881,22,1
882,17,1
882,20,1
882,64,1
883,7,1
883,23,1
884,6,1
884,35,1
885,33,1
886,15,1
887,16,1
887,23,1
888,1,1
888,20,1
889,4,1
889,20,1
890,20,1
890,23,1
890,58,2
891,1,1
891,15,1
891,18,1
891,20,1
892,21,1
892,31,1
893,26,1
894,6,1
894,10,1
895,20,1
896,1,1
896,23,1
896,52,1
897,19,1
897,20,1
898,20,1
898,26,2
899,22,1
899,32,1
900,24,1
900,64,1
901,58,1
902,19,1
903,15,1
904,17,1
905,16,1
906,17,1
906,40,1
907,20,1
908,7,1
908,8,1
909,17,1
910,51,1
911,6,1
911,20,1
912,22,1
913,7,1
914,6,1
914,10,1
915,8,1
915,20,1
916,11,1
917,19,2
917,47,1
918,20,2
918,33,1
918,54,1
919,7,1
919,8,1
919,20,3
919,62,1
920,1,1
920,20,1
921,1,1
921,2,1
921,20,1
922,22,1
922,32,1
923,14,1
923,23,2
923,29,1
923,57,1
923,66,1
924,17,1
924,19,2
925,7,1
925,20,1
925,22,1
926,22,1
926,32,1
927,20,1
928,23,1
929,24,1
930,38,1
931,1,1
931,20,1
931,27,2
932,20,1
932,43,1
934,20,1
935,7,1
935,8,1
935,20,3
935,23,1
935,62,1
936,17,1
936,19,1
936,20,1
938,6,1
938,10,1
939,18,1
939,20,1
939,26,1
939,51,1
940,13,1
940,23,1
941,1,1
941,2,1
941,20,2
941,48,1
942,20,1
943,1,1
943,18,1
943,20,2
943,26,1
943,52,4
945,7,1
946,1,1
946,18,1
946,20,1
946,23,1
946,51,1
947,14,1
947,26,1
948,17,1
950,7,1
950,20,2
950,53,1
951,39,1
952,1,1
952,16,1
952,18,1
952,20,1
953,1,1
953,2,1
953,48,1
954,6,1
954,10,1
956,19,1
956,24,1
957,1,1
957,17,1
957,18,1
957,20,1
958,1,1
958,20,1
959,19,1
959,20,1
959,24,1
961,23,1
961,26,1
961,44,1
963,17,1
963,20,2
963,43,1
964,19,1
964,20,1
964,24,1
966,19,1
966,20,2
966,26,1
969,1,1
969,19,1
969,20,1
969,23,1
969,52,1
970,16,1
972,22,1
973,19,1
973,43,1
973,57,1
974,1,1
974,19,1
975,20,1
975,39,1
977,17,1
977,18,1
977,20,1
977,39,3
979,8,2
979,12,1
979,26,1
980,18,1
980,20,1
980,23,1
980,26,1
980,46,1
980,63,1
982,33,1
983,6,1
983,10,1
984,23,1
985,43,1
985,57,1
986,19,1
988,20,1
989,19,1
989,38,1
990,15,1
990,20,1
994,20,2
994,60,2
995,16,1
995,57,2
995,61,1
996,8,1
997,46,1
997,63,1
999,22,1
999,32,1
1001,20,1
1001,26,1
1002,33,1
1004,20,1
1007,39,2
1008,35,1
1009,20,1
1010,19,1
1010,31,1
1011,1,1
1011,22,1
1012,23,1
1012,43,1
1012,57,1
1013,6,1
1013,10,1
1014,6,1
1014,10,1
1016,23,1
1017,1,1
1017,17,1
1017,18,1
1017,20,1
1017,24,1
1018,46,1
1018,63,1
1019,1,1
1019,18,1
1019,20,1
1019,45,1
1019,52,1
1020,6,1
1020,17,1
1021,33,1
1022,19,1
1022,20,2
1023,20,1
1023,33,1
1024,20,1
1024,23,1
1026,40,1
1026,65,1
1027,16,1
1027,56,1
1029,4,1
1029,7,1
1030,19,2
1032,20,1
1032,24,1
1033,1,1
1033,19,1
1033,20,1
1033,24,1
1033,39,1
1034,24,1
1035,51,1
1036,31,1
1038,20,1
1038,23,1
1039,17,1
1041,1,2
1042,7,1
1042,20,1
1042,29,1
1044,22,1
1046,33,1
1047,20,1
1048,21,1
1049,16,1
1050,15,1
1050,20,2
1052,8,1
1052,20,1
1054,1,1
1055,17,1
1055,40,1
1056,1,1
1056,20,1
1057,23,1
1057,53,1
1058,20,1
1059,24,1
1059,64,1
1061,23,1
1062,19,1
1062,38,2
1063,6,1
1063,48,1
1065,20,1
1065,33,1
1066,1,1
1066,18,1
1066,23,1
1067,20,1
1068,17,1
1069,1,1
1069,20,1
1070,1,1
1070,17,1
1070,18,1
1070,19,1
1071,60,1
1071,61,1
1072,15,1
1074,15,1
1075,1,1
1075,16,1
1075,17,1
1075,18,1
1075,19,1
1075,20,1
1075,52,1
1076,22,1
1076,32,1
1078,1,1
1078,7,1
1078,18,1
1078,62,1
1079,20,1
1080,10,1
1080,21,1
1081,1,1
1081,4,1
1082,8,1
1082,33,1
1083,2,1
1084,1,1
1085,8,1
1085,20,1
1086,23,1
1086,46,1
1086,63,1
1087,18,1
1087,20,1
1090,20,1
1091,18,1
1091,20,1
1092,36,1
1093,33,1
1093,34,1
1093,51,1
1094,7,1
1094,8,1
1094,20,3
1094,62,1
1095,20,2
1096,21,1
1096,35,1
1097,1,1
1097,19,1
1099,22,1
1099,32,1
1101,19,1
1102,1,1
1102,10,1
1102,18,1
1102,33,1
1104,44,1
1104,62,1
1105,6,1
1105,10,1
1106,6,1
1106,10,1
1108,40,1
1108,54,1
1111,20,1
1112,6,1
1112,20,1
1113,16,1
