i,j,x
290,2,1
290,37,1
291,1,1
291,2,1
291,26,1
291,37,1
292,1,1
292,2,1
292,37,1
293,2,1
293,37,1
294,1,1
294,2,1
294,37,1
295,1,1
295,2,1
295,37,1
296,1,1
296,2,1
296,12,1
296,37,1
297,1,1
297,2,1
297,9,3
297,37,1
298,2,1
298,12,1
298,37,1
299,1,1
299,2,1
299,26,1
299,37,2
300,1,1
300,2,1
300,37,1
301,2,1
301,37,1
302,1,1
302,2,1
302,37,1
303,1,1
303,2,1
303,9,1
303,37,1
304,1,1
304,2,1
304,15,1
304,37,1
305,1,1
305,2,1
305,37,1
306,2,1
306,37,1
307,1,1
307,2,1
307,37,1
308,1,2
308,2,2
308,8,1
308,26,1
308,27,1
308,37,2
309,1,1
309,2,1
309,37,1
310,2,1
310,37,1
310,41,1
311,1,1
311,2,1
311,37,1
312,1,2
312,2,1
312,11,1
312,12,1
312,37,1
313,2,1
313,37,1
313,39,1
314,1,1
314,2,1
314,11,1
314,12,1
314,37,1
315,2,1
315,11,1
315,12,1
315,37,1
316,2,1
316,9,1
316,37,1
317,1,1
317,2,1
317,8,1
317,37,1
318,1,1
318,2,1
318,9,1
318,26,1
318,37,1
319,1,1
319,2,1
319,9,1
319,37,1
320,2,2
320,37,2
321,1,1
321,2,1
321,11,1
321,12,1
321,37,1
322,1,2
322,2,2
322,11,1
322,37,2
323,1,1
323,2,1
323,26,1
323,37,1
324,1,1
324,2,1
324,37,1
325,1,1
325,2,1
325,37,1
326,1,1
326,2,1
326,10,1
326,37,1
327,1,1
327,2,1
327,11,1
327,37,1
328,1,1
328,2,1
328,37,1
329,1,1
329,2,1
329,37,1
330,2,1
330,11,1
330,12,1
330,37,1
331,2,1
331,37,1
332,2,1
332,11,2
332,12,2
332,37,1
333,1,1
333,2,2
333,11,1
333,12,1
333,37,2
334,1,1
334,2,2
334,11,1
334,12,1
334,37,2
335,1,1
335,2,1
335,37,1
336,1,1
336,2,2
336,37,2
337,1,1
337,2,1
337,9,1
337,37,1
338,1,1
338,2,1
338,37,1
339,1,1
339,2,1
339,11,1
339,12,1
339,37,1
340,2,1
340,11,1
340,12,1
340,37,1
341,1,1
341,2,1
341,30,1
341,37,1
342,2,1
342,37,1
343,1,1
343,2,1
343,8,1
343,11,1
343,12,1
343,26,1
343,37,1
344,1,1
344,2,1
344,30,1
344,37,1
345,12,1
346,1,1
346,2,1
346,4,1
346,10,1
346,37,1
347,2,1
347,11,1
347,12,1
347,37,1
348,1,1
348,2,1
348,11,1
348,12,1
348,37,1
349,2,1
349,22,1
349,27,1
349,37,2
350,2,1
350,37,1
351,1,1
351,2,1
351,37,1
352,2,1
352,37,1
352,39,1
353,1,1
353,2,1
353,9,1
353,37,1
354,1,1
354,2,1
354,11,1
354,12,1
354,37,1
355,1,1
355,2,1
355,11,1
355,12,1
355,29,1
355,37,1
356,1,1
356,2,1
356,37,1
356,39,2
357,2,2
357,30,1
357,37,2
358,1,1
358,2,1
358,9,1
358,37,1
359,1,1
359,2,2
359,11,1
359,12,1
359,37,2
360,1,3
360,2,1
360,25,1
360,37,1
361,1,1
361,2,1
361,37,1
362,1,2
362,2,2
362,37,2
363,1,1
363,2,1
363,9,1
363,26,1
363,37,1
363,38,1
364,1,1
364,2,1
364,9,1
364,11,1
364,12,1
364,37,1
365,1,1
365,2,1
365,8,1
365,11,1
365,12,1
365,27,1
365,37,1
366,2,1
366,37,1
367,2,1
367,37,1
368,1,1
368,2,1
368,22,1
368,37,1
369,1,1
369,2,1
369,37,1
369,39,1
369,41,1
370,1,1
370,2,1
370,12,1
370,30,1
370,37,1
372,1,1
372,2,1
372,33,1
372,37,1
373,1,1
373,2,1
373,11,1
373,12,1
373,37,1
374,1,1
374,2,1
374,37,1
375,1,1
375,2,1
375,11,1
375,12,1
375,37,1
376,1,1
376,2,1
376,8,1
376,37,1
377,11,1
378,1,1
378,2,1
378,37,1
378,42,1
379,1,1
379,2,1
379,9,1
379,11,1
379,12,1
379,32,1
379,37,1
380,1,1
380,2,1
380,11,1
380,12,1
380,33,1
380,37,1
381,2,1
381,9,1
381,37,1
382,2,2
382,8,1
382,37,2
384,1,1
384,2,1
384,32,1
384,37,1
385,1,1
385,2,1
385,11,1
385,12,1
385,26,1
385,37,1
386,2,1
386,9,1
386,37,1
387,1,1
387,2,1
387,11,1
387,12,1
387,37,1
388,1,1
388,2,1
388,11,1
388,37,1
389,1,1
389,2,1
389,11,1
389,12,1
389,37,1
390,1,1
390,2,1
390,11,2
390,12,2
390,37,1
391,1,1
391,2,1
391,11,1
391,12,1
391,15,1
391,37,1
392,2,1
392,11,1
392,12,1
392,37,1
393,1,2
393,2,2
393,17,2
393,25,1
393,37,2
394,1,1
394,2,1
394,11,1
394,37,1
395,1,1
395,2,1
395,8,1
395,11,1
395,12,1
395,37,1
396,1,1
396,2,1
396,37,1
397,1,1
397,2,2
397,37,2
398,37,1
399,1,1
399,2,1
399,37,1
400,2,1
400,12,1
400,37,1
