i,j,x
405,20,1
405,51,1
406,2,1
407,19,1
408,1,1
409,1,1
410,35,1
411,1,1
412,2,1
412,19,1
414,13,1
414,14,1
414,23,1
416,19,1
416,20,2
416,26,1
418,17,1
418,19,1
419,20,1
419,24,1
420,17,1
420,20,1
420,43,1
421,39,1
421,47,1
422,17,1
422,43,1
423,22,1
423,32,1
424,17,1
424,23,1
424,26,1
424,61,1
425,41,1
426,15,1
426,20,1
426,23,1
427,6,1
427,10,1
428,20,1
429,6,1
429,10,1
430,9,1
431,23,1
432,6,1
432,9,1
433,52,1
434,20,1
435,7,1
435,9,1
435,16,1
437,31,1
437,60,1
438,16,1
438,20,1
439,17,1
439,39,1
440,20,1
441,1,1
441,24,1
442,1,1
442,2,1
442,20,1
444,22,1
444,32,1
446,16,1
447,17,1
448,22,1
448,32,1
449,26,1
450,1,1
450,17,1
450,18,1
450,19,1
450,20,1
450,39,1
451,2,1
452,20,1
454,26,1
454,59,1
455,18,1
455,19,1
455,20,1
456,21,1
457,33,1
457,40,1
458,20,1
458,33,1
458,49,1
459,7,1
459,9,1
462,6,1
462,26,1
462,51,1
464,6,1
464,15,1
464,64,1
465,26,1
465,61,1
466,19,1
467,43,1
467,57,1
469,19,1
469,20,1
470,6,1
470,10,1
471,19,1
471,20,1
475,12,1
475,35,1
475,57,1
476,17,1
476,20,1
477,1,2
477,18,1
477,22,1
478,26,1
478,60,1
479,1,1
479,4,1
479,20,1
480,14,1
481,6,1
481,18,1
481,19,1
481,33,1
481,46,1
481,63,1
482,1,1
482,2,1
482,6,1
482,19,1
484,19,1
484,52,1
485,22,1
488,15,1
488,20,1
490,15,1
491,22,1
493,1,1
493,54,1
494,46,1
494,53,1
494,54,1
494,55,1
494,63,1
495,19,2
495,20,1
495,52,1
496,19,1
498,19,2
498,20,1
499,12,1
499,16,1
499,20,1
500,1,1
500,52,1
501,46,1
501,63,1
503,17,1
503,39,1
504,7,1
504,20,1
504,22,1
505,19,2
505,24,1
505,39,1
506,19,1
508,1,1
508,20,1
508,26,1
508,44,1
509,8,1
509,20,1
512,9,1
512,14,1
512,20,1
512,40,1
514,24,1
514,64,1
515,43,1
516,17,1
516,19,1
516,20,1
516,39,1
516,64,1
517,35,1
517,37,1
518,1,1
519,21,1
520,23,1
521,6,1
521,19,2
521,24,1
522,38,1
523,22,1
523,32,1
524,20,1
525,19,1
525,20,1
525,24,1
526,17,1
526,19,1
528,6,1
528,10,1
529,6,1
529,10,1
530,19,1
